Model Name,Dataset,Quantization Batch Size,Original Top1 Accuracy,Quantized Top1 Accuracy,Original Top5 Accuracy,Quantized Top5 Accuracy,Bits,MLP_Alphabet_Scalar,CNN_Alphabet_Scalar,MLP_Percentile,CNN_Percentile,Stochastic Quantization,Regularizer,Lambda,Original Sparsity,Quantized Sparsity,Retain_rate,Fusion,Seed,Subset_Inds,Subset_Classes,Max_KL,Min_KL,Avg_KL,Median_KL,Classes Repeated,Fine-Tuned Top1 Accuracy,Fine-Tuned Top5 Accuracy,Quant+FT Top1 Accuracy,Quant+FT Top5 Accuracy,Original Top1 Accuracy (Pick Sub),Original Top5 Accuracy (Pick Sub),Quantized Top1 Accuracy (Pick Sub),Quantized Top5 Accuracy (Pick Sub),Fine-Tuned Top1 Accuracy (Pick Sub),Fine-Tuned Top5 Accuracy (Pick Sub),Quant+FT Top1 Accuracy (Pick Sub),Quant+FT Top5 Accuracy (Pick Sub),Fine-Tuned Sparsity,Quant+FT Sparsity
googlenet,CIFAR100,64,0.802,0.869,0.946,0.968,4,1.16,1.16,1,1,False,,0.1,0.0,0.358,0.25,False,0,"[56, 18, 73, 9, 38, 30, 20, 21, 90, 75]","['palm_tree', 'caterpillar', 'shark', 'bottle', 'kangaroo', 'dolphin', 'chair', 'chimpanzee', 'train', 'skunk']",64.18661290002403,0.4744978835085725,13.513544625193036,7.750219999816011,False,0.904,0.99,0.907,0.982,0.937,0.995,0.923,0.992,0.916,0.996,0.907,0.992,0.0,0.3513
googlenet,CIFAR100,64,0.773,0.846,0.941,0.963,4,1.16,1.16,1,1,False,,0.1,0.0,0.3549,0.25,False,0,"[10, 32, 41, 74, 65, 60, 95, 23, 56, 39]","['bowl', 'flatfish', 'lawn_mower', 'shrew', 'rabbit', 'plain', 'whale', 'cloud', 'palm_tree', 'keyboard']",62.00327230729251,0.4482791598811342,13.302660673681958,8.429711234036255,False,0.906,0.989,0.905,0.984,0.939,0.994,0.925,0.998,0.922,0.998,0.909,0.995,0.0,0.3515
googlenet,CIFAR100,64,0.796,0.794,0.984,0.99,4,1.16,1.16,1,1,False,,0.1,0.0,0.3646,0.25,False,0,"[96, 33, 68, 47, 49, 52, 23, 56, 59, 60]","['willow_tree', 'forest', 'road', 'maple_tree', 'mountain', 'oak_tree', 'cloud', 'palm_tree', 'pine_tree', 'plain']",7.623985980751646,0.19731785373933208,2.4319248353150407,2.019768949912905,False,0.812,0.986,0.812,0.986,0.834,0.999,0.81,0.999,0.816,0.993,0.812,0.992,0.0,0.3516
googlenet,CIFAR100,64,0.84,0.919,0.976,0.985,4,1.16,1.16,1,1,False,,0.1,0.0,0.3574,0.25,False,0,"[0, 58, 39, 71, 52, 53, 62, 90, 61, 94]","['apple', 'pickup_truck', 'keyboard', 'sea', 'oak_tree', 'orange', 'poppy', 'train', 'plate', 'wardrobe']",192.25317582671377,0.8441400222921807,68.61485162119276,57.30908083051428,False,0.975,0.997,0.973,0.998,0.982,1.0,0.97,0.998,0.982,0.999,0.975,0.999,0.0,0.3553
googlenet,CIFAR100,64,0.743,0.824,0.925,0.942,4,1.16,1.16,1,1,False,,0.1,0.0,0.3558,0.25,False,0,"[51, 59, 18, 37, 17, 61, 4, 13, 77, 65]","['mushroom', 'pine_tree', 'caterpillar', 'house', 'castle', 'plate', 'beaver', 'bus', 'snail', 'rabbit']",88.34314163421803,0.09185044820464691,18.057364950907846,10.432656922204181,False,0.885,0.983,0.881,0.984,0.914,0.994,0.895,0.99,0.902,0.994,0.883,0.989,0.0,0.3512
googlenet,CIFAR100,64,0.741,0.841,0.921,0.941,4,1.16,1.16,1,1,False,,0.1,0.0,0.355,0.25,False,0,"[57, 63, 6, 86, 87, 51, 10, 36, 27, 11]","['pear', 'porcupine', 'bee', 'telephone', 'television', 'mushroom', 'bowl', 'hamster', 'crocodile', 'boy']",34.40216880351286,0.5397982916127482,10.799191418817486,7.6474769405185175,False,0.909,0.977,0.902,0.982,0.935,0.996,0.912,0.995,0.922,0.996,0.905,0.991,0.0,0.352
googlenet,CIFAR100,64,0.703,0.73,0.881,0.893,4,1.16,1.16,1,1,False,,0.1,0.0,0.3562,0.25,False,0,"[64, 65, 66, 4, 38, 74, 15, 80, 50, 63]","['possum', 'rabbit', 'raccoon', 'beaver', 'kangaroo', 'shrew', 'camel', 'squirrel', 'mouse', 'porcupine']",1.4233814839308776,0.1115033507263587,0.5284303713018493,0.41538633450207474,False,0.75,0.921,0.73,0.933,0.775,0.966,0.746,0.95,0.768,0.963,0.731,0.957,0.0,0.3566
googlenet,CIFAR100,64,0.853,0.909,0.974,0.99,4,1.16,1.16,1,1,False,,0.1,0.0,0.3637,0.25,False,0,"[0, 71, 39, 49, 51, 52, 53, 58, 61, 94]","['apple', 'sea', 'keyboard', 'mountain', 'mushroom', 'oak_tree', 'orange', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,0.5440176130360911,67.23355182300942,49.09750103727456,False,0.964,0.998,0.965,0.996,0.977,1.0,0.968,0.998,0.973,1.0,0.966,0.999,0.0,0.3511
googlenet,CIFAR100,64,0.719,0.817,0.948,0.962,4,1.16,1.16,1,1,False,,0.1,0.0,0.3548,0.25,False,0,"[72, 85, 99, 62, 46, 81, 61, 98, 79, 83]","['seal', 'tank', 'worm', 'poppy', 'man', 'streetcar', 'plate', 'woman', 'spider', 'sweet_pepper']",70.36849319691129,0.20167788178516421,18.36549951685848,11.786332721477857,False,0.883,0.988,0.886,0.985,0.921,1.0,0.904,0.996,0.905,1.0,0.889,0.995,0.0,0.3521
googlenet,CIFAR100,64,0.707,0.774,0.902,0.927,4,1.16,1.16,1,1,False,,0.1,0.0,0.3532,0.25,False,0,"[97, 84, 65, 46, 64, 98, 27, 89, 74, 66]","['wolf', 'table', 'rabbit', 'man', 'possum', 'woman', 'crocodile', 'tractor', 'shrew', 'raccoon']",14.234822070070736,0.12359417654779235,4.659348039029951,4.157153478241709,False,0.835,0.966,0.828,0.975,0.869,0.99,0.836,0.987,0.864,0.991,0.834,0.986,0.0,0.3531
