model,dataset,batch_size,original_top1,quantized_top1,original_top5,quantized_top5,bits,mlp_scaler,cnn_scaler,mlp_percentile,cnn_percentile,stochastic,regularizer,lambda,orginal_sparsity,quantized_sparsity,retain_rate,fusion,see,similarity,num_classes,subset_class_names,max_kl_dist,avg_kl_dist
resnet20,CIFAR100,256,0.768,0.78,0.96,0.958,4,1.16,1.16,1,1,False,,0.1,0.0,0.2324,0.25,False,0,0,10,"['apple', 'keyboard', 'mountain', 'sweet_pepper', 'oak_tree', 'orange', 'chair', 'poppy', 'pickup_truck', 'wardrobe']",192.25317582671377,70.42257263936587
resnet20,CIFAR100,256,0.668,0.674,0.895,0.895,4,1.16,1.16,1,1,False,,0.1,0.0,0.232,0.25,False,0,1,10,"['bed', 'bicycle', 'lamp', 'lawn_mower', 'boy', 'motorcycle', 'table', 'telephone', 'television', 'couch']",7.3148195901587005,2.107963247967088
resnet20,CIFAR100,256,0.763,0.76,0.953,0.948,4,1.16,1.16,1,1,False,,0.1,0.0,0.2325,0.25,False,0,0,10,"['apple', 'keyboard', 'mountain', 'oak_tree', 'orange', 'chair', 'poppy', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,73.38938089289127
resnet20,CIFAR100,256,0.486,0.485,0.754,0.75,4,1.16,1.16,1,1,False,,0.1,0.0,0.2377,0.25,False,0,1,10,"['possum', 'rabbit', 'raccoon', 'beaver', 'kangaroo', 'shrew', 'camel', 'squirrel', 'mouse', 'porcupine']",1.4233814839308776,0.5284303713018493
resnet20,CIFAR100,256,0.752,0.764,0.938,0.936,4,1.16,1.16,1,1,False,,0.1,0.0,0.2367,0.25,False,0,0,10,"['apple', 'keyboard', 'mountain', 'oak_tree', 'orange', 'chair', 'poppy', 'pickup_truck', 'turtle', 'wardrobe']",192.25317582671377,68.195158530358
resnet20,CIFAR100,256,0.565,0.56,0.837,0.819,4,1.16,1.16,1,1,False,,0.1,0.0,0.234,0.25,False,0,1,10,"['beetle', 'lizard', 'lobster', 'snake', 'spider', 'snail', 'mushroom', 'crab', 'trout', 'dinosaur']",0.8390733956106174,0.34585241673325967
resnet20,CIFAR100,256,0.791,0.803,0.963,0.962,4,1.16,1.16,1,1,False,,0.1,0.0,0.2311,0.25,False,0,0,10,"['apple', 'keyboard', 'mountain', 'oak_tree', 'orange', 'chair', 'poppy', 'pickup_truck', 'plain', 'wardrobe']",192.25317582671377,73.19619235761297
resnet20,CIFAR100,256,0.736,0.73,0.947,0.936,4,1.16,1.16,1,1,False,,0.1,0.0,0.2347,0.25,False,0,1,10,"['house', 'lawn_mower', 'bridge', 'bus', 'skyscraper', 'motorcycle', 'streetcar', 'tank', 'tractor', 'train']",5.12552844804835,1.8085912877292711
resnet20,CIFAR100,256,0.735,0.735,0.942,0.938,4,1.16,1.16,1,1,False,,0.1,0.0,0.238,0.25,False,0,0,10,"['apple', 'keyboard', 'sea', 'mountain', 'oak_tree', 'orange', 'pickup_truck', 'plate', 'wardrobe', 'elephant']",192.25317582671377,70.41594275980907
resnet20,CIFAR100,256,0.486,0.485,0.754,0.75,4,1.16,1.16,1,1,False,,0.1,0.0,0.2377,0.25,False,0,1,10,"['possum', 'rabbit', 'raccoon', 'beaver', 'kangaroo', 'shrew', 'camel', 'squirrel', 'mouse', 'porcupine']",1.4233814839308776,0.5284303713018493
