model,dataset,batch_size,original_top1,subset_top1,all_top1,original_top5,subset_top5,all_top5,bits,mlp_scalar,cnn_scalar,mlp_percentile,cnn_percentile,stochastic,regularizer,lambda,original_sparsity,subset_sparsity,all_sparsity,retain_rate,fusion,seed,similar,num_classes,subset_names,max_kl_dist,avg_kl_dist
resnet20,CIFAR100,256,0.623,0.61,0.609,0.88,0.878,0.874,4,1.16,1.16,1,1,False,,0.1,0.0,0.2351,0.2346,0.25,False,0,[1],10,"['telephone', 'girl', 'spider', 'chair', 'trout', 'woman', 'tulip', 'lizard', 'skyscraper', 'lion']",60.52676238853514,13.474301364635739
resnet20,CIFAR100,256,0.608,0.605,0.611,0.864,0.871,0.869,4,1.16,1.16,1,1,False,,0.1,0.0,0.2343,0.2382,0.25,False,0,[1],10,"['snail', 'lion', 'beetle', 'willow_tree', 'clock', 'trout', 'elephant', 'orange', 'wolf', 'tulip']",78.5851445616193,17.110994901169494
resnet20,CIFAR100,256,0.654,0.657,0.645,0.885,0.886,0.88,4,1.16,1.16,1,1,False,,0.1,0.0,0.2349,0.2325,0.25,False,0,[1],10,"['keyboard', 'clock', 'mouse', 'sunflower', 'cloud', 'streetcar', 'bicycle', 'otter', 'butterfly', 'sweet_pepper']",60.61150323952877,16.614717080983898
resnet20,CIFAR100,256,0.575,0.583,0.569,0.853,0.846,0.854,4,1.16,1.16,1,1,False,,0.1,0.0,0.2334,0.2331,0.25,False,0,[1],10,"['bridge', 'beetle', 'chimpanzee', 'willow_tree', 'lamp', 'baby', 'train', 'bear', 'cloud', 'clock']",31.05806314465483,10.60466156371027
resnet20,CIFAR100,256,0.671,0.653,0.662,0.898,0.898,0.894,4,1.16,1.16,1,1,False,,0.1,0.0,0.2357,0.2314,0.25,False,0,[1],10,"['boy', 'crocodile', 'chair', 'spider', 'flatfish', 'bicycle', 'motorcycle', 'road', 'bowl', 'sunflower']",56.698347491299145,10.29324230883429
resnet20,CIFAR100,256,0.671,0.676,0.673,0.915,0.913,0.897,4,1.16,1.16,1,1,False,,0.1,0.0,0.2372,0.234,0.25,False,0,[1],10,"['bicycle', 'trout', 'orchid', 'tank', 'seal', 'cloud', 'wardrobe', 'plate', 'sweet_pepper', 'pine_tree']",124.38320765746053,26.513655368895186
resnet20,CIFAR100,256,0.592,0.586,0.594,0.832,0.814,0.827,4,1.16,1.16,1,1,False,,0.1,0.0,0.237,0.2372,0.25,False,0,[1],10,"['chimpanzee', 'lamp', 'keyboard', 'seal', 'crab', 'cattle', 'kangaroo', 'plain', 'orchid', 'possum']",62.00327230729251,14.280054537386011
resnet20,CIFAR100,256,0.606,0.59,0.611,0.889,0.876,0.881,4,1.16,1.16,1,1,False,,0.1,0.0,0.235,0.236,0.25,False,0,[1],10,"['television', 'tulip', 'pine_tree', 'bowl', 'table', 'sweet_pepper', 'bus', 'beaver', 'dinosaur', 'bottle']",59.91125828035945,16.287547589823955
resnet20,CIFAR100,256,0.611,0.585,0.579,0.872,0.857,0.865,4,1.16,1.16,1,1,False,,0.1,0.0,0.2347,0.2396,0.25,False,0,[1],10,"['bear', 'bicycle', 'leopard', 'man', 'camel', 'pickup_truck', 'clock', 'raccoon', 'orchid', 'boy']",72.36889227374438,13.312284211788777
resnet20,CIFAR100,256,0.632,0.622,0.612,0.866,0.868,0.87,4,1.16,1.16,1,1,False,,0.1,0.0,0.2379,0.2351,0.25,False,0,[1],10,"['palm_tree', 'baby', 'tiger', 'rabbit', 'tulip', 'can', 'mountain', 'shark', 'woman', 'clock']",45.1912509856805,15.192699618502097
resnet20,CIFAR100,256,0.61,0.617,0.591,0.849,0.847,0.829,4,1.16,1.16,1,1,False,,0.1,0.0,0.2336,0.235,0.25,False,0,[1],10,"['spider', 'wolf', 'keyboard', 'camel', 'road', 'ray', 'mountain', 'possum', 'cattle', 'dolphin']",66.9804369236124,12.78524625359951
resnet20,CIFAR100,256,0.631,0.639,0.616,0.872,0.869,0.867,4,1.16,1.16,1,1,False,,0.1,0.0,0.234,0.2395,0.25,False,0,[1],10,"['worm', 'butterfly', 'telephone', 'spider', 'bee', 'rocket', 'cup', 'lizard', 'tiger', 'snake']",26.622371315621326,7.692595966203944
resnet20,CIFAR100,256,0.656,0.684,0.671,0.915,0.907,0.907,4,1.16,1.16,1,1,False,,0.1,0.0,0.2356,0.2336,0.25,False,0,[1],10,"['tiger', 'streetcar', 'beaver', 'can', 'chair', 'sweet_pepper', 'pear', 'bicycle', 'man', 'butterfly']",53.98160716724929,15.749392176485895
